top - 20:23:23 up  3:15,  2 users,  load average: 35.26, 39.98, 31.77
Tasks: 493 total,   1 running, 492 sleeping,   0 stopped,   0 zombie
Cpu(s): 10.9%us,  0.6%sy,  0.1%ni, 87.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.3%st
Mem:  61722916k total, 40832272k used, 20890644k free,   110072k buffers
Swap:        0k total,        0k used,        0k free, 22224360k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
21710 cassandr  20   0 36.5g  33g  17g S  5.8 56.8   1:24.80 java               
19810 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   8:11.14 java               
19814 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   7:15.33 java               
19815 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   7:05.87 java               
19836 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   4:31.60 java               
19843 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   4:44.41 java               
19844 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   4:30.30 java               
19876 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   4:21.97 java               
20985 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   3:12.49 java               
21292 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   4:44.72 java               
21389 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   3:49.79 java               
21391 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   4:13.13 java               
21433 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   3:26.25 java               
21434 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   3:07.90 java               
21438 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:48.16 java               
21468 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:46.86 java               
21469 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:41.00 java               
21470 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:46.37 java               
21486 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:37.31 java               
21521 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:36.43 java               
21578 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:22.72 java               
21584 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:23.76 java               
21597 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:41.66 java               
21598 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:43.94 java               
21599 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:09.78 java               
21600 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:45.95 java               
21603 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:40.69 java               
21604 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:18.58 java               
21609 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:02.92 java               
21616 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:05.58 java               
21618 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:16.68 java               
21620 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:37.00 java               
21623 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:54.52 java               
21628 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   2:10.39 java               
21634 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   0:13.50 java               
21656 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:05.84 java               
21659 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:14.43 java               
21665 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:29.44 java               
21667 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:32.08 java               
21671 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:14.04 java               
21675 cassandr  20   0 36.5g  33g  17g S  3.9 56.8   1:02.88 java               
19706 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:08.12 java               
19834 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   4:00.00 java               
19835 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   4:09.36 java               
19837 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   4:11.76 java               
20006 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   3:12.94 java               
20010 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   3:15.37 java               
20014 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   3:08.04 java               
20016 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   3:00.13 java               
20017 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:45.29 java               
20980 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   3:13.77 java               
20981 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:57.94 java               
21076 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:06.72 java               
21080 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:06.87 java               
21431 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   3:22.95 java               
21548 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:25.86 java               
21563 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:22.30 java               
21567 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:19.85 java               
21583 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:20.45 java               
21585 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:23.15 java               
21591 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:14.01 java               
21592 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:55.71 java               
21593 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:37.59 java               
21595 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:41.60 java               
21607 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:13.00 java               
21612 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:08.34 java               
21619 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:52.54 java               
21622 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:51.66 java               
21625 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   2:09.95 java               
21632 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:22.10 java               
21637 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:15.09 java               
21639 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:17.38 java               
21652 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:47.79 java               
21660 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:14.07 java               
21664 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:29.59 java               
21666 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:37.54 java               
21672 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:11.14 java               
21674 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:05.52 java               
21676 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:52.44 java               
21680 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:37.31 java               
21684 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:25.07 java               
21686 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   1:15.18 java               
21705 cassandr  20   0 36.5g  33g  17g S  1.9 56.8   0:12.04 java               
19663 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.00 java               
19664 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:10.12 java               
19688 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.87 java               
19689 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.90 java               
19690 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.94 java               
19691 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.93 java               
19692 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.78 java               
19693 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.79 java               
19694 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   1:05.67 java               
19696 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.08 java               
19697 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.14 java               
19698 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.00 java               
19699 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.00 java               
19700 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:11.49 java               
19701 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:10.96 java               
19702 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.17 java               
19703 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.09 java               
19704 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.00 java               
19705 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:03.23 java               
19707 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:05.24 java               
19708 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:05.37 java               
19709 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:01.24 java               
19710 cassandr  20   0 36.5g  33g  17g S  0.0 56.8   0:00.29 java               
